0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	1608.00	943.86	568.74	422.97	379.46	407.13	523.57	820.03	1608.00	0.00	
0.00	0.00	273.47	339.40	320.70	308.28	318.35	343.57	328.51	0.00	0.00	
0.00	0.00	126.41	194.70	212.16	214.61	214.43	203.83	150.45	0.00	0.00	
0.00	0.00	58.70	100.82	118.63	123.56	120.93	106.87	69.47	0.00	0.00	
0.00	0.00	17.40	31.24	37.99	40.08	38.85	33.25	20.54	0.00	0.00	
0.00	0.00	-17.40	-31.24	-37.99	-40.08	-38.85	-33.25	-20.54	0.00	0.00	
0.00	0.00	-58.70	-100.82	-118.63	-123.56	-120.93	-106.87	-69.47	0.00	0.00	
0.00	0.00	-126.41	-194.70	-212.16	-214.61	-214.43	-203.83	-150.45	0.00	0.00	
0.00	0.00	-273.47	-339.40	-320.70	-308.28	-318.35	-343.57	-328.51	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
